Rnd,number,Player,TFR_Points,Team,Opp,Minutes,Points,Tries,Seven_point_tries,Conversions_attempted,Conversions_successful,PK_attempted,PK_successful,Kicking_success_pct,Drop_kicks_attempted,Successful_drop_kicks,Carries,Metres_run,Metres_gained,Avg_metres_gained,Clean_breaks,Ball_carry_into_breakdown,Offloads,Defenders_beaten,Total_passes,Successful_passes,Pass_accuracy_pct,First_and_second_breakdown_arrivals,Third_breakdown_arrivals,Tackles_attempted,Tackles_made,Tackles_missed,Tackles_made_pct,Dominant_tackles,Offloads_in_tackle,Defensive_turnovers_won,Defensive_breakdown_arrivals,First_defending_breakdown_arrivals,Breakdown_turnovers_won,Turnovers_conceded,General_play_kicks,General_play_kick_errors,Penalties_conceded,Free_kicks_conceded,Yellow_cards,Red_cards,Try_assists,Def_bonus,Off_bonus
1,1,Zura Zhivania,1.7,Chicago Hounds,MIA,68,0,0,0,0,0,0,0,0,0,0,2,9,7,4,0,2,0,0,0,0,0,9,3,5,5,0,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0
2,1,Cameron Orr,5.8,Seattle Seawolves,MIA,71,0,0,0,0,0,0,0,0,0,0,5,29,26,5,0,5,0,0,1,1,100,12,4,9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Dane Zander,4.4,RFC Los Angeles,HOU,69,0,0,0,0,0,0,0,0,0,0,2,8,6,3,0,2,0,0,2,1,50,8,4,23,16,7,0,0,0,0,2,2,0,3,0,0,3,0,0,0,0,0,0
2,1,Ezekiel Lindenmuth,5.4,Houston Sabercats,LA,68,0,0,0,0,0,0,0,0,0,0,11,62,52,5,0,10,1,0,0,0,0,6,2,5,4,1,0,0,0,0,2,2,0,2,0,0,1,0,0,0,0,0,0
2,1,Franco van den Berg,4.1,Utah Warriors,CHI,70,0,0,0,0,0,0,0,0,0,0,4,19,18,5,0,4,0,0,0,0,0,8,1,7,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,1,Jake Turnbull,6.8,Anthem RC,NOLA,72,0,0,0,0,0,0,0,0,0,0,5,27,26,5,0,5,0,1,2,2,100,4,3,15,14,1,0,1,0,0,3,3,0,1,0,0,1,0,0,0,0,0,0
2,1,Jarred Adams,3.8,NOLA Gold,ARC,55,0,0,0,0,0,0,0,0,0,0,5,46,39,8,0,2,1,1,1,1,100,12,1,5,3,2,0,1,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0
2,1,Kyle Ciquera,3.2,New England Free Jacks,OGDC,51,0,0,0,0,0,0,0,0,0,0,6,32,31,5,0,6,1,0,1,1,100,7,1,8,7,1,0,0,0,0,4,4,0,4,0,0,2,1,0,0,0,0,0
2,1,Liam Murray,1.8,Dallas Jackals,SDL,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,13,11,2,0,0,0,0,3,2,0,3,0,0,3,0,0,0,0,0,0
2,1,Payton Telea-Ilalio,4.2,San Diego Legion,DAL,52,0,0,0,0,0,0,0,0,0,0,6,43,33,6,0,4,1,2,0,0,0,7,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Quentin Newcomer,3.3,Old Glory DC,NEFJ,47,0,0,0,0,0,0,0,0,0,0,4,19,18,4,0,4,0,0,1,0,0,4,2,9,5,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2,1,Rob Evans,1.3,Miami Sharks,SEA,65,0,0,0,0,0,0,0,0,0,0,2,13,6,3,0,1,0,0,4,4,100,6,5,5,4,1,0,0,0,0,3,2,0,1,0,0,1,0,0,0,0,0,0
2,1,Zura Zhivania,6.4,Chicago Hounds,UTAH,65,5,1,0,0,0,0,0,0,0,0,2,12,8,4,0,1,1,0,0,0,0,8,1,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
3,1,Alex Maughan,-2,RFC Los Angeles,SDL,69,0,0,0,0,0,0,0,0,0,0,2,7,7,3,0,1,1,0,0,0,0,9,4,11,11,0,0,1,0,0,0,0,0,4,0,0,4,0,1,0,0,0,0
3,1,Cameron Orr,5.6,Seattle Seawolves,UTAH,61,0,0,0,0,0,0,0,0,0,0,3,35,31,10,0,3,0,1,1,1,100,4,2,12,10,2,0,0,0,0,3,3,0,1,0,0,1,0,0,0,0,0,0
3,1,Ezekiel Lindenmuth,-1.4,Houston Sabercats,MIA,73,0,0,0,0,0,0,0,0,0,0,4,21,17,4,0,4,0,0,0,0,0,3,0,8,8,0,0,0,0,0,0,0,0,4,0,0,3,1,1,0,0,0,0
3,1,Franco van den Berg,0.2,Utah Warriors,SEA,21,0,0,0,0,0,0,0,0,0,0,2,7,6,3,0,2,0,0,0,0,0,3,1,3,2,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0
3,1,Fred Apulu,4.2,Chicago Hounds,OGDC,45,0,0,0,0,0,0,0,0,0,0,4,24,24,6,0,4,1,0,1,1,100,13,2,6,6,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0
3,1,Jack Iscaro,5.7,Old Glory DC,CHI,73,0,0,0,0,0,0,0,0,0,0,8,39,28,4,0,8,0,0,0,0,0,4,4,10,8,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
3,1,Jake Turnbull,10.7,Anthem RC,DAL,72,5,1,0,0,0,0,0,0,0,0,7,46,37,5,0,5,0,1,3,3,100,9,1,6,5,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
3,1,Jarred Adams,4.4,NOLA Gold,NEFJ,49,0,0,0,0,0,0,0,0,0,0,3,27,23,8,0,2,1,0,0,0,0,6,2,9,7,2,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0
