id,Name,Team,Position,Points
361,Reinaldo Piussi,MIA,FR,71.80476683
362,Fred Apulu,UTAH,Bench,10.95968378
363,Jonas Petrakopoulos,MIA,Bench,10.76128401
364,Faka'osi Pifeleti,CHI,FR,70.7083117
365,Sione Mahe,UTAH,B3,95.83491804
366,Theo Vukasinovic,LA,SR,69.6175998
367,Johan Momsen,HOU,SR,68.05132862
368,Christian Poidevin,SDL,BR,67.9873976
369,Nathan Den Hoedt,HOU,SR,67.90558728
370,Max Schumacher,HOU,Bench,7.059285884
371,Stephan Crimp,SDL,B3,92.85201401
372,Dan Hanson,ARC,Bench,6.833677188
373,Dominick Iaconvino,ARC,C,92.6094191
374,John Dupree,UTAH,BR,66.76214766
375,Pat O'Toole,NOLA,FR,66.45630728
376,Ryan Rees,SEA,Bench,5.64071012
377,Tomas Cubelli,MIA,SH,91.39121896
378,Juan Pablo Zeiss,SEA,FR,65.19309092
379,Kyle Baillie,NEFJ,SR,64.99202357
380,Tomasi Tonga,UTAH,C,90.08728574
381,Lucas Gramlick,ARC,SR,64.52612112
382,Isaac Salmon,NOLA,FR,63.67716703
383,Charlie Abel,CHI,FR,63.66533863
384,Saia Uhila,UTAH,SR,63.49205284
385,Piers von Dadelszen,NEFJ,BR,63.04368909
386,Rob Evans,MIA,FR,62.40847487
387,JP Smith,SEA,SH,87.50056687
388,Ignacio Dotti,OGDC,SR,61.83093478
389,Sam Matenga,SEA,FR,61.38922283
390,Conor Keys,NEFJ,SR,60.95873443
391,Reegan O'Gorman,LA,SR,60.40829108
392,Jarred Adams,NOLA,FR,60.28241024
393,Ethan McVeigh,OGDC,SH,84.87977285
394,Dane Zander,LA,FR,59.33119482
395,Sean Paranihi,NOLA,FR,59.28665611
396,Kyle Ciquera,NEFJ,FR,58.94779969
397,Ross Depperschmidt,NOLA,C,83.87240862
398,William Waguespack,NOLA,SR,58.11572426
399,Mika Felix,ARC,FR,57.97519982
400,Conor Young,LA,FR,57.63283068
401,Peter Malcolm,SEA,FR,57.44819928
402,Callum Botchar,NOLA,SR,55.81578873
403,John-Roy Jenkinson,NEFJ,FR,55.74450529
404,Cam Nordli-Kelemeti,NEFJ,SH,79.04810521
405,Paul Mullen,NOLA,FR,51.42192418
406,Matt Harmon,NOLA,FR,48.51382134
407,Alex Maughan,LA,FR,46.89325071
408,Emerson Prior,UTAH,FR,45.63648127
