Week,Team,team_sum
10,CLE,108.32
10,DAL,159.66
10,DEN,93.32
10,DET,119.32
10,GNB,83.06
10,HOU,117.94
10,IND,64.56
10,JAX,39.10
10,LAC,108.92
10,LVR,70.12
10,MIN,106.72
10,NOR,66.78
10,NWE,65.90
10,NYG,42.24
10,NYJ,86.72
10,PIT,77.64
10,SEA,119.16
10,SFO,136.94
10,TAM,96.52
10,TEN,50.46
10,WAS,99.78
11,ARI,66.36
11,BAL,87.66
11,BUF,112.30
11,CAR,35.62
11,CHI,77.66
11,CIN,53.42
11,CLE,50.20
11,DAL,87.16
11,DEN,72.16
11,DET,81.94
11,GNB,66.78
11,HOU,81.24
11,JAX,94.28
11,KAN,65.88
11,LAC,72.80
11,LAR,55.70
11,LVR,49.34
11,MIA,85.70
11,MIN,64.24
11,NYG,96.24
11,NYJ,22.74
11,PHI,56.40
11,PIT,47.74
11,SEA,63.12
11,SFO,108.12
11,TAM,46.34
11,TEN,41.82
11,WAS,68.14
12,ARI,44.54
12,ATL,68.62
12,BAL,77.18
12,BUF,100.16
12,CAR,46.76
12,CHI,67.18
12,CIN,41.68
12,CLE,46.36
12,DAL,110.14
12,DEN,78.86
12,DET,71.38
12,GNB,85.12
12,HOU,71.46
12,IND,81.74
12,JAX,85.56
12,KAN,82.32
12,LAC,44.78
12,LAR,108.66
12,LVR,61.82
12,MIA,100.32
12,MIN,45.80
12,NOR,63.66
12,NWE,45.16
12,NYG,52.94
12,NYJ,43.66
12,PHI,81.20
12,PIT,75.52
12,SEA,38.40
12,SFO,90.26
12,TAM,64.46
12,TEN,59.00
12,WAS,43.50
13,ARI,67.20
13,ATL,51.14
13,CAR,53.52
13,CIN,97.18
13,CLE,59.76
13,DAL,103.56
13,DEN,53.74
13,DET,86.12
13,GNB,83.18
13,HOU,85.06
13,IND,95.38
13,JAX,79.02
13,KAN,57.70
13,LAC,48.58
13,LAR,91.06
13,MIA,110.40
13,NOR,63.40
13,NWE,36.14
13,NYJ,44.52
13,PHI,59.52
13,PIT,49.18
13,SEA,91.36
13,SFO,108.26
13,TAM,68.48
13,TEN,82.36
13,WAS,35.68
14,ATL,84.88
14,BAL,98.34
14,BUF,66.12
14,CAR,45.68
14,CHI,89.52
14,CIN,98.90
14,CLE,97.44
14,DAL,100.84
14,DEN,77.96
14,DET,49.34
14,GNB,60.42
14,HOU,31.14
14,IND,47.90
14,JAX,74.88
14,KAN,63.74
14,LAC,47.86
14,LAR,87.96
14,LVR,32.24
14,MIA,73.10
14,MIN,46.82
14,NOR,68.36
14,NWE,74.90
14,NYG,74.32
14,NYJ,91.24
